,3'Flank,3'UTR,5'Flank,5'UTR,Intron,Missense_Mutation,Nonsense_Mutation,Nonstop_Mutation,RNA,Silent,Splice_Site,Translation_Start_Site
SBS40b,0.000413869787869932,0.0004996143131308622,0.000700361092448976,0.0004070697425643367,0.0009240054380659332,0.004077430240395018,0.0004548459972938873,0.00034829922791923144,0.0008901355929535008,0.0011424915078446483,0.0009371844488837356,0.0004616334164540692
SBS40c,0.0004053846408690718,0.0004820742274912515,0.0007056873792633346,0.0004038726280260898,0.0008782439113128842,0.003787846070389782,0.0004540035548673157,0.00034582695111453645,0.0009272293694517254,0.0011373342126632237,0.0009348409855976926,0.00047720996613708573
SBS41,0.000457734479988703,0.000533425839088627,0.0007062487573542061,0.0004206508225923155,0.0009090993758147041,0.003772088392878871,0.0004767313867706358,0.0003538709856175761,0.0009495102010245502,0.0011762999664546648,0.0009700174211504256,0.00046669153063139677
SBS42,0.000385148370963287,0.0004635737976245716,0.0006943376896902686,0.0004026463129983826,0.0008651185588256233,0.0035350879505826596,0.00045905412339241437,0.0003369483619571493,0.0009294609479194663,0.0011643411237613427,0.0009357790627181665,0.00045401436313004625
SBS43,0.0004494435824496813,0.0005381292076000347,0.0007805179767136842,0.0004577838019611496,0.000993623047809444,0.0042743409516560775,0.00048389104393686225,0.00034973348133585395,0.0009990334435660106,0.001210730894903676,0.0009546133161958372,0.0004946562667912958
SBS44,0.3739314599354028,5.063488139178876,0.17552715209371536,0.4068107023197301,0.6639661280550364,0.0064339207903283775,0.0028369683919627197,0.0004856362375648837,0.42771736830890467,0.008098051622670209,0.0025285155986507868,0.0008476504662944216
SBS45,0.000351248481896853,0.000534748213209807,0.0011253881758279028,0.0014337127626376119,0.0016194496058394533,0.0016875986241952682,0.019692095390681407,0.0005321036923066565,0.0013270927155638924,0.10729411973942787,0.0012411273406879514,0.0010847992009729785
SBS46,0.0003781406193739527,0.0005052438673482385,0.000674235484721566,0.00046990732316566094,0.0009513416449786595,0.004711322357380758,0.0005208955336444046,0.0007347452062164579,0.000974395036723814,0.0012809504632628908,0.0007248610421014684,0.0006164052706754594
SBS47,0.0004966466171566764,0.0005611901543155993,0.0007545477344570415,0.000445754636318553,0.0009445379173531348,0.0037088398185633237,0.0005095832243530241,0.0003733325816511268,0.0010256262084021358,0.0012456145316866716,0.0010222964230411752,0.0004892315377577357
SBS48,0.00048700337539702847,0.0005695454187597178,0.0008397340702970739,0.0004862554421595792,0.0009796488308709305,0.0034744526161220968,0.0006058694382628846,0.0003976595711341671,0.0011865380544399042,0.0013983029676271272,0.0009991650160100917,0.0006368027435686086
SBS49,0.0004913701216421047,0.0005067088518727817,0.0010580356648036166,0.0006460376646924243,0.0010043257333424824,0.002714091031750785,0.0007871542104528318,0.0004023027646189375,0.0017318516986637759,0.0018166696537926653,0.0010288879610955816,0.0007358595591465987
SBS50,0.0003932516014818823,0.0004670589094179708,0.0007471985456384692,0.0004122418034459603,0.0008682915282629578,0.0034894785515937267,0.000471847632114733,0.000334777058475209,0.0010171955615213557,0.0011866486184310052,0.00104909335302185,0.00040602236572315686
SBS51,0.00045644958301167203,0.0005172817780667526,0.0006954695930533271,0.0004222183180591297,0.0009052930410620312,0.003677597279137706,0.0004828088347884787,0.0003634542381816,0.0009658960143098862,0.0011937053945785614,0.0009805728472411879,0.0004941392895118055
SBS52,0.0004655182846695458,0.0005545947073565163,0.0007647556421421631,0.0004362272263445339,0.0009708125434177656,0.0035197035059325874,0.0005421061549139767,0.00045423719090837165,0.0010898170179053123,0.0013019930199271994,0.0010022616726746304,0.0005470010890946234
